rooms,baths,area,lat,lng,amenity_count,has_swimming_pool,has_gym_or_health_club,has_covered_parking,has_lawn_or_garden,has_security_staff,has_balcony_or_terrace,has_jacuzzi,has_sauna,has_cctv_security,price_per_sqm,rooms_x_baths,area_per_room,amenity_density,total_amenities,city_en_enc,neighbourhood_en_enc,province_en_enc,furnishingStatus_furnished,furnishingStatus_unfurnished,furnishingStatus_unknown,completionStatus_completed,completionStatus_under-construction,property_type_en_Apartments,property_type_en_Cabins,property_type_en_Chalets,property_type_en_Duplexes,property_type_en_Hotel Apartments,property_type_en_Lands,property_type_en_Other Residential,property_type_en_Penthouses,property_type_en_Roofs,property_type_en_Rooms,property_type_en_Townhouses,property_type_en_Twin Houses,property_type_en_Villas,property_type_en_iVillas
4,5,310.0,30.0212161,31.5472488,9,1,0,0,1,0,0,0,0,0,141935.48387096773,20,77.5,2.903225806451613,2,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,60.0,29.6727347,32.3374381,4,0,0,0,0,0,0,0,0,0,93333.33333333333,0,60.0,6.666666666666667,0,15.747032114495013,15.967921456359903,15.747032114495013,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,162.0,30.107832255957,31.596580211647,0,0,0,0,0,0,0,0,0,0,39444.444444444445,6,54.0,0.0,0,16.088423555642784,16.380459992348886,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3,264.0,30.007848,31.4906558,13,0,0,1,1,0,0,0,0,0,90909.09090909091,12,66.0,4.924242424242424,2,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,3,126.0,30.0941611,31.7041108,27,0,1,1,1,1,1,1,1,1,34920.63492063492,6,63.0,21.428571428571427,8,15.82707481102028,15.793051943818522,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2,145.0,31.3543445,27.2373159,0,0,0,0,0,0,0,0,0,0,102206.89655172414,6,48.333333333333336,0.0,0,16.345788916607955,16.264790116464905,16.345788916607955,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3,4,205.0,30.07349031,31.60085522,10,0,1,1,1,1,1,0,0,1,69096.06829268293,12,68.33333333333333,4.878048780487806,6,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,2,93.0,29.9844638,30.8817192,30,1,1,1,1,0,1,1,1,0,44086.021505376346,4,46.5,32.25806451612903,7,16.10616420501588,15.56224706466147,16.01134442508541,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,95.0,30.834438,28.963224,21,1,1,1,1,1,1,0,0,1,63157.89473684211,4,47.5,22.105263157894736,7,16.345788916607955,15.76142084987672,16.345788916607955,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4,5,300.0,29.9875186,31.5555302,5,0,0,1,0,0,0,0,0,0,61666.666666666664,20,75.0,1.6666666666666667,1,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
